STA NET DIST AZ BAZ STA_LAT STA_LON EQ_LAT EQ_LON EQ_DEP EQ_MAG EQ_NAME POLARFLAG QUALITY PREM AMP CCC1 SNRAVE DT PHASE STRETCHC STRETCHF MISFITSIG COMP TAG1 TAG2 TAG3 TAG4 TAG5 WEIGHT TAG6 TAG7 ONSET ENDSET TSTARF TSTARC CCC2 MISFITPRE MISFITBAK GRECORD GSEW GMISFIT POLARITY POLAR_RIGHT TRAFFIC PRE2T PRE3T BAK2T BAK3T SNR_TROUGH SNR_PEAK SNR_SMALL
CMB BK 69.919 319.219 126.375 38.035 -120.387 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1948.910 0.000001878 0.99 2.28 -1.7 ScSScS 1.00 0.93 3.30 T 6.50 190 -100.00 90.00 -12.500 0.20 0.00 0.05 1.10 11.90 0.95 1.00 1.00 9.99 23.03 29.40 27.50 0.07 -0.60
MHC BK 70.323 318.003 125.197 37.342 -121.643 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1951.110 0.000001339 0.95 2.09 34.5 ScSScS 0.91 0.33 41.85 T 41.00 190 -100.00 90.00 22.000 0.00 0.00 0.75 36.70 45.30 0.75 0.99 1.00 17.73 22.67 23.40 27.50 -0.15 -0.61
STAN BK 70.707 317.799 124.807 37.404 -122.175 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1953.200 0.000002131 0.82 2.03 -2.8 ScSScS 0.92 1.83 17.43 T 6.20 273 -100.00 90.00 -21.100 0.00 0.00 0.51 0.30 12.10 0.72 0.80 0.53 59.03 48.72 31.80 27.50 0.16 -0.61
ORV BK 71.518 319.974 125.929 39.554 -121.500 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1957.720 0.000001573 0.96 1.57 1.4 ScSScS 1.00 0.83 2.72 T 7.90 190 -100.00 90.00 -11.100 0.00 0.00 0.11 3.60 12.20 0.75 1.00 0.99 14.56 4.95 23.40 27.50 -0.15 -0.59
MIN BK 72.048 320.596 126.056 40.346 -121.607 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1960.700 0.000001281 0.89 0.74 -11.2 ScSScS 1.00 0.68 2.24 T -5.60 190 -100.00 90.00 -24.600 0.00 0.00 0.12 -9.30 -1.90 0.65 1.00 1.00 6.76 7.60 20.30 27.50 -0.26 -0.58
WDC BK 72.764 320.359 125.380 40.580 -122.541 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1964.680 0.000000940 0.98 0.80 -5.8 ScSScS 0.98 0.98 11.18 T 2.40 190 -100.00 90.00 -16.600 0.00 0.00 0.18 -3.00 7.80 0.95 0.98 0.96 21.09 35.01 29.40 27.50 0.07 -0.58
ARC BK 73.892 319.918 124.255 40.878 -124.077 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1971.040 0.000001561 0.78 1.77 23.3 ScSScS 0.90 0.58 5.08 T 31.50 190 -100.00 90.00 12.500 0.00 0.00 0.27 26.10 36.90 0.95 0.99 0.97 82.69 29.94 29.40 27.50 0.07 -0.59
A44 XZ 74.142 324.265 127.509 44.413 -121.032 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1972.550 0.000000050 0.94 0.43 -3.8 ScSScS 1.00 1.33 10.13 T 6.60 290 -100.00 90.00 -22.400 0.00 0.00 0.18 -0.10 13.30 6.42 0.93 0.98 15.96 118.47 36.90 27.50 0.34 -0.55
PPT G 76.859 254.839 99.979 -17.569 -149.576 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 1986.890 0.000003061 0.94 1.71 9.5 ScSScS 0.99 0.93 5.62 T 17.70 190 -100.00 90.00 -1.300 0.00 0.00 0.20 12.30 23.10 0.95 1.00 0.95 24.43 22.12 29.40 27.50 0.07 -0.78
VSL MN 89.928 49.376 252.709 39.496 9.378 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2068.300 0.000001169 0.96 2.21 26.7 ScSScS 0.90 0.58 10.86 T 36.60 190 -100.00 90.00 17.600 0.20 0.00 0.22 30.00 43.20 1.15 0.99 0.98 58.89 36.18 35.60 27.50 0.29 0.42
ECH G 91.098 40.590 251.251 48.216 7.158 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2076.000 0.003268700 0.73 2.38 52.5 ScSScS 0.96 0.43 31.23 T 56.40 190 -100.00 90.00 37.400 0.00 0.00 0.89 53.80 59.00 0.45 0.94 0.99 9.95 37.76 13.90 27.50 -0.49 0.31
HGN NL 91.181 37.917 250.374 50.764 5.932 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2076.570 0.000000778 0.97 1.06 -3.5 ScSScS 0.98 1.08 14.25 T 5.30 270 -100.00 90.00 -21.700 0.00 0.00 0.31 -0.40 11.00 0.07 0.95 0.84 55.65 68.26 31.40 27.50 0.14 0.28
BFO GR 91.878 40.726 252.119 48.331 8.330 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2081.060 0.000000480 0.55 0.75 -10.8 ScSScS 0.76 4.42 33.99 T 0.90 308 -100.00 90.00 -29.900 0.00 0.00 0.55 -6.60 8.40 11.17 0.61 0.87 85.79 62.80 42.10 27.50 0.53 0.31
BUG GR 92.198 37.547 251.419 51.446 7.264 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2083.180 0.000000906 0.80 1.44 -1.2 ScSScS 1.00 0.48 2.46 T 2.70 190 -100.00 90.00 -16.300 0.00 0.00 0.29 0.10 5.30 0.45 1.00 0.95 24.63 11.77 13.90 27.50 -0.49 0.27
AQU MN 93.647 47.469 255.398 42.354 13.405 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2092.590 0.000000634 0.82 24.00 -13.5 ScSScS 0.99 0.58 4.10 T -8.60 190 -100.00 90.00 -27.600 1.00 0.00 0.22 -11.80 -5.40 0.55 0.99 0.98 10.31 17.05 17.20 27.50 -0.37 0.40
GRA1 GR 94.094 39.971 254.335 49.692 11.222 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2095.610 0.000000695 0.79 1.45 38.8 ScSScS 0.94 0.48 21.46 T 46.10 190 -100.00 90.00 27.100 0.00 0.00 0.56 41.20 51.00 0.85 0.95 0.98 61.28 20.58 26.40 27.50 -0.04 0.30
CLZ GR 94.166 37.746 253.841 51.843 10.374 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2096.120 0.000001142 0.73 1.83 27.6 ScSScS 0.91 0.43 2.40 T 34.90 190 -100.00 90.00 15.900 0.00 0.00 0.24 30.00 39.80 0.85 0.99 0.96 78.30 11.35 26.40 27.50 -0.04 0.27
HAM GR 94.359 36.105 253.606 53.465 9.925 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2097.410 0.000002576 0.86 1.36 -2.0 ScSScS 1.00 0.58 0.97 T 2.90 190 -100.00 90.00 -16.100 0.00 0.00 0.05 -0.30 6.10 0.55 1.00 1.00 3.00 22.97 17.20 27.50 -0.37 0.25
MOX GR 94.593 39.116 254.702 50.646 11.616 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2098.940 0.000000821 0.74 1.02 -10.1 ScSScS 0.90 1.98 36.35 T 3.10 327 -100.00 90.00 -29.600 0.00 0.00 0.38 -5.20 11.40 15.67 0.75 0.81 92.64 31.95 47.40 27.50 0.72 0.29
WET GR 94.997 40.784 255.527 49.145 12.880 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2101.610 0.000000640 0.76 1.30 -34.6 ScSScS 0.94 0.33 16.10 T -29.00 190 -100.00 90.00 -48.000 0.00 0.00 0.37 -32.70 -25.30 0.65 0.99 0.99 32.07 52.65 20.30 27.50 -0.26 0.31
CLL GR 95.609 38.696 255.814 51.308 13.003 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2105.700 0.000000974 0.57 1.15 31.8 ScSScS 0.92 0.23 8.17 T 34.00 190 -100.00 90.00 15.000 0.00 0.00 0.61 32.50 35.50 0.25 0.92 0.81 6.74 41.61 7.80 27.50 -0.72 0.28
ALE II 95.758 0.930 186.907 82.503 -62.350 -13.335 -69.410 604.900 6.900 199401101553 -1 -1 2106.850 0.000000907 0.73 1.26 26.5 ScSScS 0.96 0.43 0.84 T 30.40 190 -100.00 90.00 11.400 0.00 0.00 0.04 27.80 33.00 0.45 1.00 1.00 1.85 7.34 13.90 27.50 -0.49 -0.17
KONO IU 95.923 30.078 253.874 59.649 9.598 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2107.850 0.000001421 0.94 2.06 0.4 ScSScS 0.98 0.68 4.08 T 6.00 190 -100.00 90.00 -13.000 0.00 0.00 0.30 2.30 9.70 0.65 0.98 0.95 18.01 14.52 20.30 27.50 -0.26 0.18
BRG GR 96.084 39.263 256.489 50.875 13.947 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2108.860 0.000001265 1.00 1.72 -3.5 ScSScS 1.00 0.98 3.25 T 4.70 190 -100.00 90.00 -14.300 0.00 0.00 0.05 -0.70 10.10 0.95 1.00 1.00 27.72 22.54 29.40 27.50 0.07 0.29
BRNL GR 96.094 37.656 256.199 52.428 13.358 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2108.940 0.000001882 0.77 1.39 23.8 ScSScS 0.95 0.48 3.55 T 28.70 190 -100.00 90.00 9.700 0.00 0.00 0.12 25.50 31.90 0.55 0.99 0.99 21.67 11.69 17.20 27.50 -0.37 0.27
ARU II 121.553 30.924 295.784 56.430 58.562 -13.335 -69.410 604.900 6.900 199401101553 1 -1 2290.190 0.000000892 0.97 1.93 -10.1 ScSScS 0.99 1.18 5.34 T -0.80 276 -100.00 90.00 -28.400 0.00 0.00 0.14 -6.90 5.30 1.43 0.96 0.98 26.22 22.41 32.30 27.50 0.17 0.17
